id;name;type;created;created_by;updated;updated_by
1;Vermont Gloves;DRIVING;2023-02-14T02:44:44;10943;2023-02-14T00:51:39;57147
2;bypass;DRIVING;2023-02-14T08:55:15;43354;2023-02-14T09:52:37;28717
3;customized;DRIVING;2023-02-14T05:08:18;16365;2023-02-14T08:38:22;74112
4;national;DRIVING;2023-02-14T17:37:07;63973;2023-02-14T13:28:02;11245
5;secondary;DRIVING;2023-02-14T13:01:08;87948;2023-02-14T21:06:40;75053
6;synthesize;DRIVING;2023-02-14T21:28:17;64507;2023-02-14T16:39:23;40549
7;Avon navigating;DRIVING;2023-02-14T11:19:07;36704;2023-02-14T11:02:27;4132
8;Practical;DRIVING;2023-02-14T16:16:05;30428;2023-02-14T13:10:11;22996
9;transmitting;DRIVING;2023-02-14T21:24:58;7667;2023-02-13T23:22:16;27114
10;Wall synergies algorithm;DRIVING;2023-02-14T02:24:31;81101;2023-02-14T04:25:25;61737
