id;amount;status;created;created_by;updated;updated_by
1;16699;SELECTED;2023-02-13T22:51:37;26633;2023-02-13T23:57:33;41522
2;80472;SELECTED;2023-02-14T11:34:19;18536;2023-02-14T14:18:50;32166
3;48052;REFUSED;2023-02-14T18:41:07;85417;2023-02-14T04:12:35;75558
4;20965;SELECTED;2023-02-14T12:30:16;57162;2023-02-14T03:33:12;56996
5;21613;REFUSED;2023-02-14T19:18:16;87823;2023-02-14T14:08:59;48758
6;79812;SELECTED;2023-02-14T17:13:31;65088;2023-02-14T01:05:31;53816
7;88082;SELECTED;2023-02-14T19:23:41;45050;2023-02-13T23:55:42;54363
8;4047;REFUSED;2023-02-14T09:15:14;33961;2023-02-14T19:40:46;33365
9;31423;SELECTED;2023-02-14T04:36:15;26149;2023-02-14T11:07:16;58442
10;56197;SELECTED;2023-02-14T18:51:38;71116;2023-02-14T16:43:44;7850
