id;name;type;description;rating
1;orange lavender strategic;SKILL;Kids Liberia neural;61555
2;Bulgaria revolutionary;SKILL;Versatile Bolivar;76404
3;secondary parse Electronics;SKILL;model Florida Chair;16910
4;calculating Wooden;SKILL;ivory exploit;76653
5;Greenland TCP Program;HOBBY;XSS;60197
6;Future;HOBBY;ability;19840
7;implement embrace;SPOKEN_LANGUAGE;South copy Washington;65061
8;strategy Marketing structure;HOBBY;incubate;63323
9;Rest;HOBBY;Loan Berkshire;11958
10;Books invoice;SKILL;Steel backing;27058
